Voici la liste des ancêtres de Jésus-Christ, descendant de David, lui-même descendant d'Abraham.	Ŋwa'nyə nə ŋkhənyə Yeso Kristo mú David, mú Abraham.
Mais le capitaine répondit: «Maître, je ne suis pas digne que tu entres dans ma maison. Mais il suffit que tu dises un mot et mon serviteur sera guéri.	Yeso lə́ piŋ ŋkho kənu', biŋ sa'shyə lɑpʉə, bɑnyə tisuŋ e.
Je suis moi-même soumis à mes supérieurs et j'ai des soldats sous mes ordres. Si je dis à l'un: “Va!”, il va; si je dis à un autre: “Viens!”, il vient; et si je dis à mon serviteur: “Fais ceci!”, il le fait.»	Pu lɑ mu' gɛ po'tə nɑ́ sɔ' bi e, bɑ pu kwa e dəm kodyə. Yeso lə yɔ piŋnthʉm yap, gɔm bi gɛ po'tə nɑ́ gɑ: Kaktʉɔ m mú a, pu lɑ mhɔ mǔ shwyɛ' o.
Quand Jésus entendit ces mots, il fut dans l'admiration et dit à ceux qui le suivaient: «Je vous le déclare, c'est la vérité: je n'ai trouvé une telle foi chez personne en Israël.	A lə́ pɑ po'o shɑ pɑ zhyə́ mco' pɑ gɔm cəcɑ̌ pú gɑ: Mbɛ yəŋ gɑ yəmtə Si.
Je vous l'affirme, beaucoup viendront de l'est et de l'ouest et prendront place à table dans le Royaume des cieux avec Abraham, Isaac et Jacob.	Yeso lə́ zhyə́ pa' wap wə sɛ nthʉm tʉm pú a gɔm gɑ: Nwə́ kɑ́ po ghə mɔ gɑ nthi mkwɛnyə́ cwəpuŋ nthʉm tʉm pó?
Mais ceux qui étaient destinés au Royaume seront jetés dehors, dans le noir, où ils pleureront et grinceront des dents.»	A ghɔ nə́ nə ghɔm gɑ: Pu lɑ mhɔ mǔ nə shwyɛ' o, pu nə ghɔm gɑ: Lusi gǐŋ, bɑ ya yɛ̀?
Puis Jésus dit au capitaine: «Retourne chez toi, Dieu t'accorde ce que tu as demandé avec foi!» Et le serviteur du capitaine fut guéri à ce moment même.	Po'o! Tə́ po nə́ jyə gɑ́ tʉɔ bɑ bi Mú mo dəmcǎ' nə lɑ mhɔ pɔmnəŋ nə shwyɛ' wap, e ghɔm bi gɛ po'tə nɑ́ gɑ: Lusi ŋkwa kodyə o nə gɔ la' o!
Jésus se rendit à la maison de Pierre. Il y trouva la belle-mère de Pierre au lit: elle avait de la fièvre.	Bɛ bɔ lə lusi gɔ la' e.
Il lui toucha la main et la fièvre la quitta; elle se leva et se mit à le servir.	Pɔmnəŋ lə nə́ yɔ po'o bwɔk, biŋ gu'tə́ Si pa' e hɑ yə bɔ nthi tʉɔ̀ bi pɔmnəŋ a.
Le soir venu, on amena à Jésus un grand nombre de personnes tourmentées par des esprits mauvais. Par sa parole Jésus chassa ces esprits et il guérit aussi tous les malades.	Yeso lə lǔ tsʉ'u, biŋ nə cyə jɔ mu' mbɛ pu pɑ ŋkhe é gɑ Matio. Bɑ e cwə́si dyə ma' shwɔp. Yeso ghɔm bi e gɑ: Yap jʉ̌m m̀, Matio lusi jap jʉm é.
Il le fit afin que se réalise cette parole du prophète Ésaïe: «Il a pris nos infirmités et nous a déchargés de nos maladies.»	Pú Yeso lə́ pɑ́ tɑpe dyə e, pɑ kwi shwɔ̀p pu a mghɛ mhɔ jɔmyɔ̌m sɔ' pu a pɑkhʉ Yeso pɑ yap Si.
Quand Jésus vit toute la foule qui l'entourait, il donna l'ordre à ses disciples de passer avec lui de l'autre côté du lac.	Pɑ Farisai lə nə yɔ po'o, gɔm bi pɑkhʉ̌ Yeso gɑ: Nwə kɑ́ tá yɔ pu a pɑ kwi shwɔ̀p ba mghɛ mhɔ pəmtə dzʉ́ywə?
Un maître de la loi s'approcha et lui dit: «Maître, je te suivrai partout où tu iras.»	Da'gɑ́ Yeso yu' gɔm gɑ: Tɑ́ pɑ nɑ nthʉ̀ɔ nə shəŋ gəgɛ pɑ̀, mghɛ ghó nə shəŋ e.
Jésus lui répondit: «Les renards ont des terriers et les oiseaux ont des nids, mais le Fils de l'homme n'a pas un endroit où il puisse se coucher et se reposer.»	Po ghɔ ji'tə nwə nə ywə yə yəŋ nwə nthutə a gɑ: Ywə yə gɑ̌ shəŋ a, a bɑ́ cɔmmtso, a tə bɑ nə nuŋpwɔ' pɑ́. Nə pa' ŋ da tə sɔ' m nə ké pɔ dəŋdəŋ pɑ́, ŋ də sɔ' m nə ké mghɛ mhɔ.
Quelqu'un d'autre, un de ses disciples, lui dit: «Maître, permets-moi d'aller d'abord enterrer mon père.»	Pɑkhʉ̌ Yohane lə sɔ' jɔ Yeso gɔm bi e gɑ: Nwə kɑ́ wɔk pyə a pɑ Farisai pɑ́ shwə tə tsʉ̌ywə, la' pɑkhʉ pǔ pɑ shwə yap tə tsʉ̌ywə?
Jésus lui répondit: «Suis-moi et laisse les morts enterrer leurs morts.»	Yeso ghɔm bi pú gɑ: Bi a pɑ msǒ la'nwə pyə pú gó wap la'nwə á zhwiŋ nə cwə yə tá la'nwə cəcɑ̌ pu a? Da' gɑ tyɛ'dzʉ́ wə yə pu gɔ té tá la'nwə cəcɑ̌ pu a? A gɔ pɑ́ tyɛ' o bɔ, wap zhwiŋ.
Jésus monta dans la barque et ses disciples l'accompagnèrent.	Sɔmmo tə dɑ pak dzə́ sə ntham bvo dzə pɑ́. Nə pa' bɑ pak dzə́ bɔ gɔ fəŋ dzə, a piŋ ŋkhi pɑ́ bɔkbɔk e.
Soudain, une grande tempête s'éleva sur le lac, si bien que les vagues recouvraient la barque. Mais Jésus dormait.	Pu tə nyəŋ mlu' sə nthʉm mvo nthǔ' pɑ́, tak po'o bɑ mvo nthǔ' gɔ vyətə, mlu' pfyə́, pú pi mnthu'. Pu nyə́ŋ mlu' sə́ pɑ nthʉm mnthu' sə́, guŋ e awɛ cwə pɑpuŋ.
Les disciples s'approchèrent de lui et le réveillèrent en criant: «Seigneur, sauve-nous! Nous allons mourir!»	Yeso lə́ pɑ́ gɔm bi pú po'o, mu' ŋkhám sɔ' bəŋ e, ŋkhám mkwi'tə myə́ si gɔm bi e gɑ: Mú a yə mjwǐ pfʉ pɑ cwəlɔ. Da' gɑ sɔ' jap pu nə é e vɔk.
Jésus leur répondit: «Pourquoi avez-vous peur? Comme votre confiance est faible!» Alors il se leva, parla sévèrement au vent et à l'eau du lac, et il se fit un grand calme.	Yeso lə́ lusi, pu a pɑkhʉ pyə́ jap jʉm e.
Tous étaient remplis d'étonnement et disaient: «Quel genre d'homme est-ce pour que même le vent et les flots lui obéissent?»	Wap lə pɑ gɔ, mu' mjwǐ gho mcyə pɑ nə e tə fɑ gu' shwɔppʉə mgham təm m jʉ́m, sho' pú nə mto dzə́ Yeso.
Quand Jésus arriva de l'autre côté du lac, dans le territoire des Gadaréniens, deux hommes sortirent du milieu des tombeaux et vinrent à sa rencontre. Ces hommes étaient possédés par des esprits mauvais; ils étaient si dangereux que personne n'osait passer par ce chemin.	Nə pa' mjwǐ bɔ lə bɑwə gɔm nthʉm tʉm é gɑ: Ŋ gɔ sho' pú nə dzə́ e bɑ gɑ gɔ vɔk.
Ils se mirent à crier: «Que nous veux-tu, Fils de Dieu? Es-tu venu ici pour nous tourmenter avant le moment fixé?»	Da' gɑ Yeso lə fɛ́ nɑ́ e, jɔ e gɔm bi e gɑ: Kaktʉɔ m go a! Piŋnthʉm o vɔk o. Mjwǐ bɔ lə wuŋ bvɔk pɑ cwəo.
Il y avait, à une certaine distance, un grand troupeau de porcs qui cherchait sa nourriture.	Yeso lə́ nə́ ŋwak dyə ŋkhǎm bɔ̌, jɔ pɑ túŋdúŋ pu a zhəzhəŋ pɔmnəŋ gɔm gɑ
Les esprits mauvais adressèrent cette prière à Jésus: «Si tu veux nous chasser, envoie-nous dans ce troupeau de porcs.»	Po təm; go yɑ́ ka pfʉ, e bɑwə diti; pɔmnəŋ piŋ bɑ jəmtə é.
«Allez», leur dit Jésus. Ils sortirent des deux hommes et s'en allèrent dans les porcs. Aussitôt, tout le troupeau se précipita du haut de la falaise dans le lac et disparut dans l'eau.	Pú lə cwə tə nthe pɔmnəŋ dyə, Yeso kó dyə́ nthɔm pú mú gò, e yàm.
Les hommes qui gardaient les porcs s'enfuirent; ils se rendirent dans la ville où ils racontèrent toute l'histoire et ce qui s'était passé pour les deux possédés.	Mcùŋ bɔ sɛ̀ nə ghə̌ŋ tsʉ'u bɔ awɛ.
Alors tous les habitants de la ville sortirent à la rencontre de Jésus; quand ils le virent, ils le supplièrent de quitter leur territoire.	Cwə yə Yeso lə pɑ gɔ a, shɑ mfʉ̀ pɑpʉ́ə yapjʉ̀m e bɑ shwé gɑ: Cɔmmtso mɔk m Mú David!
Jésus monta dans la barque, refit la traversée du lac et se rendit dans sa ville.	Yeso lə kodyə́ cwəlɔ, mfʉ bɔ fʉ'tə nɑ tsap sɔ' bəŋ e, e piŋ gɔm bi pu gɑ: Po kwɛ gɑ bi a pɑ́ gə ywə bǎ a? Wap ghɔm bi e gɑ əŋ m Cyəpɔ.
Quelques personnes lui amenèrent un paralysé couché sur une civière. Quand Jésus vit leur foi, il dit au paralysé: «Courage, mon fils! Tes péchés sont pardonnés!»	A pɑ po'o e co' pu nə mnyə map gɔm gɑ: A nwə yə po wə shəŋ a pəmtə nə piŋnthʉm yɔ.
Alors quelques maîtres de la loi se dirent en eux-mêmes: «Cet homme fait insulte à Dieu!»	Mnyə map lə ghyɛ̌'. Yeso piŋ gɔm shɔkcɔk bi pu gɑ: Pɔm gɑ sɔmmo kɑ zhyə.
Jésus discerna ce qu'ils pensaient et dit: «Pourquoi avez-vous ces mauvaises pensées?	Da' gɑ́ wap lə́ wuŋ nə təm dyə gɔm nwə é nə guŋ ghəŋ tsʉ'u awɛ.
Est-il plus facile de dire: “Tes péchés sont pardonnés”, ou de dire: “Lève-toi et marche”?	Wap lə́ nə́ təm pu lɑ mu' təghɔm, zhwenyə cwəpuŋ pɑ́ nə e sɔ' bi Yeso.
Mais je veux que vous le sachiez: le Fils de l'homme a le pouvoir sur la terre de pardonner les péchés.» Il dit alors au paralysé: «Lève-toi, prends ta civière et rentre chez toi!»	E lə zhəŋ zhwenyə cwəpuŋ nə́ tə ghɔm bɔ, e to' nə ghɔmnwə. Pɔmnəŋ pɑ́ ŋwɛnyə nə́, bɑ gɔm gɑ: pu la m jɔ nwə po'o nthʉm guŋ Israɛl.
L'homme se leva et s'en alla chez lui.	Da' gɑ pɑ Farisai pɑ́ gɔm gɑ: E shyə a m nə tadyə mzhwenyə cwəpuŋ jəŋ mzhwenyə cwəpuŋ.
Quand la foule vit cela, elle fut remplie de crainte et loua Dieu d'avoir donné un tel pouvoir aux hommes.	Yeso lə́ giŋ nə guŋ mtisuŋ pu a m nə guŋ mla' awɛ, bɑ ji'tə pɔmnəŋ dyə sinagogə pú, bɑ siŋ cuŋ pɑpuŋ nə Nəfò, biŋ bɑ́ jɛ́ guŋ mghɛ gho pu a guŋ mkhʉm awɛ.
Jésus partit de là et vit, en passant, un homme appelé Matthieu assis au bureau des impôts. Il lui dit: «Suis-moi!» Matthieu se leva et le suivit.	Yeso lə nə yɔ pɔmnəŋ, mtso map kú e nə pa' a lə bɑ wap pwa, gʉ' lə piŋ jɑ nə pú, wap pɑwə shwə pa' jʉ̀jʉ̀ tə gɛ pyap wap a.
Jésus prenait un repas dans la maison de Matthieu; beaucoup de collecteurs d'impôts et autres gens de mauvaise réputation vinrent prendre place à table avec lui et ses disciples.	A pɑ́ po'o, Yeso ghɔm bi pɑkhʉ pyə gɑ: Tsə́ lɑ nyəŋ dyə yɔm pe, mghɛ fa' kɔk.
Les Pharisiens virent cela et dirent à ses disciples: «Pourquoi votre maître mange-t-il avec les collecteurs d'impôts et les gens de mauvaise réputation?»	Po cwyɛ'nyə Ta tsə dɑlɑ gɑ e cya mghɛ fa' nə tsə dɑlɑ tsyə́.
Jésus les entendit et déclara: «Les personnes en bonne santé n'ont pas besoin de médecin, ce sont les malades qui en ont besoin.	Yeso lə́ ke pɑkhʉ́ pyə shwɔppʉ́ə mghǎm hɑ tʉ̀ɔ bi pú nə́ nə jə́ŋ mzhwenyə cwəpuŋ, biŋ jɛ guŋ mgho awɛ ba mŋkho'tə.
Allez apprendre ce que signifient ces mots prononcés par Dieu: “Je désire la bonté et non des sacrifices d'animaux.” Car je ne suis pas venu appeler ceux qui s'estiment justes, mais ceux qui se savent pécheurs.»	Mtsǒ mghɛ nthəm bɔ shwɔppʉə mgham bɑ́ gɑ: Dəŋdzə: Simon yə pú ŋkhe e gɑ Pɛtrɔ a, ba Andreya fɑ e. Yakop mú Zebede ba Yohane fɑ e
Les disciples de Jean-Baptiste s'approchèrent alors de Jésus et lui demandèrent: «Pourquoi nous et les Pharisiens jeûnons-nous souvent, tandis que tes disciples ne le font pas?»	Filipo ba Bartelemi; Tomasi ba Matio gɛ kwishwɔp. Yakop mu Alfeo ba Tadeo.
Et Jésus leur répondit: «Pensez-vous que les invités d'une noce peuvent être tristes pendant que le marié est avec eux? Bien sûr que non! Mais le temps viendra où le marié leur sera enlevé; alors ils jeûneront.	Simon mú e guŋ ba Yuda Iskariɔt yə e hɑ Yeso bi mghɛ bo pyə a.
«Personne ne répare un vieux vêtement avec une pièce d'étoffe neuve; car cette pièce arracherait une partie du vêtement et la déchirure s'agrandirait encore.	Yeso lə nə təm pɔ shwɔppʉə mghǎm gɔm bi pu gɑ: Po kɑ́ ghɔ nə mguŋ myə pɑ tə pɑ́ pɑ Yudea nə a, po kɑ́ nəŋ ŋkho nə tisuŋ pɑ Samaria.
On ne verse pas non plus du vin nouveau dans de vieilles outres; sinon les outres éclatent, le vin se répand et les outres sont perdues. On verse au contraire le vin nouveau dans des outres neuves et ainsi le tout se conserve bien.»	Po ghɔ m bəŋ jʉ̀jʉ̀ pyə wap lə la' bi nə tuŋdyə Israɛl a.
Pendant que Jésus leur parlait ainsi, un chef juif arriva, se mit à genoux devant lui et dit: «Ma fille est morte il y a un instant; mais viens, pose ta main sur elle et elle vivra.»	Po ghiŋ məjyə bɑ shyanyə gɑ́ Nəfo kɛbəŋ ghɔptə.
Jésus se leva et le suivit avec ses disciples.	Po yɛ́ mghɛ ghɔ́, jám mpfə pɔ, dɔnyə mghɛ ka'pap, jəŋ mzhwenyə cwəpuŋ. Po kɑ kwǐ pɑ něné, po hɑ pɑ́ něné.
Une femme, qui souffrait de pertes de sang depuis douze ans, s'approcha alors de Jésus par derrière et toucha le bord de son vêtement.	Po kɑ́ lɑ gɔl, kɑ ŋkhap, kɑ bʉ̌m nthʉm pètə yɔ lə.
Car elle se disait: «Si je peux seulement toucher son vêtement, je serai guérie».	Kɑ pʉə ghiŋ lə́, kɑ dzə ŋkwakwa tsɑ pʉə́ lə́, kɑ mthap, kɑ pəŋ lə́, nə pá' bǎ yá gɛfa' lə́ byap mcwɔ'fa' myə́ a.
Jésus se retourna, la vit et déclara: «Courage, ma fille! Ta foi t'a guérie.» Et à ce moment même, la femme fut guérie.	Po kò bǎ nə ya tisuŋ lə́, kɑ bǎ nə tsa la' lə, po cəŋ tə jɔ mo yə bi a pɑ́ e nyəŋ wɔ dyə a, shwə pɑ́ ywə e tə ŋkhəm cwə nə ghɔ.
Jésus arriva à la maison du chef. Quand il vit les musiciens prêts pour l'enterrement et la foule qui s'agitait bruyamment	Po nə́ kǒ nə dyə̌ sha'tə é.
il dit: «Sortez d'ici, car la fillette n'est pas morte, elle dort.» Mais ils se moquèrent de lui.	Bi a pɑ gɑ́ dyə bɔ ŋkhu'nyə, bɑ hwitə yɔ gɔ wuŋ nə e bi a e ka nə́ŋ ŋkhu'nyə a, bɑ hwitə yɔ gɔ pɑnyə nə́ po.
Quand on eut mis la foule dehors, Jésus entra dans la chambre, il prit la fillette par la main et elle se leva.	Pú ko bɑ tə lɑ wɔ, biŋ bɑ́ tə yu' ghɔm tsɔ, po nə təm dyə̌, kɑ nə tisuŋ bɔ lə, dzɔp vɔp nə mkwə mɔ.
La nouvelle s'en répandit dans toute cette région.	Gɑ siŋ wɔ kwa' nyənyɔ gɑ́ a gɔ la' pɑ́ nə tyɛ' fyɛ', go' Sodɔm pu Gomora lə pɑ ywə nə yə tisuŋ bɔ.
Au moment où Jésus partit de là, deux aveugles se mirent à le suivre en criant: «Aie pitié de nous, Fils de David!»	Po yɔ́, gɑ́ nthəm wɔ pa' mjʉ́jʉ́ a cəcɑ́ mbvʉ̌ gǒ. Po ghə fʉ́ pa' mnɔk a, biŋ dɛtə́ pa' msəŋgɔpfo a.
Quand Jésus fut arrivé à la maison, les aveugles s'approchèrent de lui et il leur demanda: «Croyez-vous que je peux faire cela?» Ils lui répondirent: «Oui, Maître.»	Po pɔ́mtə́ pɔmnəŋ! Wap gɔ pɑ́ hɑ wɔ dyə fyɛ̀', pɑ́ lɑ mshɔm cwɔ wɔ dyə sinagogə
Alors Jésus leur toucha les yeux et dit: «Dieu vous accorde ce que vous attendez avec foi!»	pu gɔ sɔ' pɑ lɑ wɔ́ ghɔ dzə mgɔpna' pu a mfomfò nə tsǒ tsɑ̌. A gɔ sɔ' pɑ bi pu ba m bi pɑ tə pɑ́ pɑ Yudea pɑ́ mtiŋ nə ŋkwinthɛ̌.
Et leurs yeux purent voir. Jésus leur parla avec sévérité: «Écoutez bien, leur dit-il, personne ne doit le savoir.»	Pú sɔ' bɑ dɑ wɔ gɔ po'o, lam tsɔ kɑ sɔ nə ywə yə po gɔ ko ghɔm a ba pa' po gɔ nə ghɔm a. Po gɔ sɔ' kwi ywə yə pɔ gɔ ghɔm a pɑ́ cwə o bɔ.
Mais ils s'en allèrent parler de Jésus dans toute cette région.	Nə pa' tə́ wɔ nə gɔ sɔ' pɑ ghɔm ǎ pɑ́, Zhwenyə Tá yɔ nə gɔ sɔ' pɑ ghɔm nə po.
Alors qu'ils s'en allaient, on amena à Jésus un homme qui était muet parce qu'il était possédé d'un esprit mauvais.	Fɑ́ gɔ sɔ' hɑ fɑ́ nə vʉ̌. A tá hɑ mú nə vʉ̌; pǒ gɔ sɔ' fɛ́jʉ́m pɑ tsə́ wap ghə pú zhwə wap.
Dès que Jésus eut chassé cet esprit, le muet se mit à parler. Dans la foule tous étaient remplis d'étonnement et disaient: «On n'a jamais rien vu de pareil en Israël!»	Guŋ pɔ awɛ gɔ sɔ' pɔ wɔ nə tso tsɑ̌; tə mo yə e tɔm tə́ nə miŋ a gɔ sɔ' vɔk.
Mais les Pharisiens affirmaient: «C'est le chef des esprits mauvais qui lui donne le pouvoir de chasser ces esprits!»	Cwə yə pu gɔ sɔ' zhəŋ wɔ nə mu' tisuŋ a, po ŋkhʉ́ gɔ nə yə mu'. Gɑ̌ siŋ wɔ kwa' nyənyɔ gɑ pǒ gɔ sɔ' nə kǎ nə mtisuŋ Israɛl tə miŋ bɑ Mú mo sɔ'.
Jésus parcourait villes et villages; il enseignait dans leurs synagogues, prêchait la Bonne Nouvelle du Royaume et guérissait toutes les maladies et toutes les infirmités.	Mukhʉ̌ tə bɑ m dzə tap e pɑ́; ba gɛfa' lə pɑ m dzə ta fa'.
Son cœur fut rempli de pitié pour les foules qu'il voyait, car ces gens étaient fatigués et découragés, comme un troupeau qui n'a pas de berger.	Tə bi a múkhʉ̌ pɑ̌ pa' tap e, gɛfa' pɑ́ pa' ta fa' e. Pu ké gɛ dyə gɑ́ Beɛlzəbul bɑ mtsǒ pó gɔ piŋ pɔk tə cyə.
Il dit alors à ses disciples: «La moisson à faire est grande, mais il y a peu d'ouvriers pour cela.	Ká po pwɔk! Sɔmywə yə pu hwyətə́ tə la' pu ghɔ sɔ' ghyɛ' a tə wə pɑ, sɔmywə yə pu tʉm tə́ la' pu ghɔ sɔ' zhyə a lə pɑ́wə.
Priez donc le propriétaire de la moisson d'envoyer davantage d'ouvriers pour la faire.»	Ywə yə gɑ̌ siŋ wɔ cwə jʉ́m a, po ghɔm yá dɔdzʉ̌. Ywə yə po ju' bhə tə̌ŋ po a, po ghɔm ya do dyə̌.
Jésus appela ses douze disciples et leur donna le pouvoir de chasser les esprits mauvais et de guérir toutes les maladies et toutes les infirmités.	Ka po pwɔk pɔ pyə bi a pɑ́ wap zhwə nɑ mo, tə bi a pɑ wap lə zhwə lam tsu a; po pwɔk pɑ́ mo yə bi a pɑ e zhwə lam tsɔ mo ba nɑ e nthʉm mɔk tə mi a.
Voici les noms de ces douze apôtres: d'abord Simon, surnommé Pierre, et son frère André; Jacques et son frère Jean, tous deux fils de Zébédée	Pu tə́ fiŋ mcici pɑpʉə nə bɛ́ ywə á lə? A nəŋ bɑ po'o, bi a pɑ́ bǎ yɑ́mu' lə vʉ́ si nə pu tə a ba gɑ Ta yɔ piŋ.
Philippe et Barthélemy; Thomas et Matthieu le collecteur d'impôts; Jacques le fils d'Alphée et Thaddée	Sɔ' m nə po, a bɑ pú sɛ mnəŋ thə mɔ awɛ.
Simon le nationaliste et Judas Iscariote, qui trahit Jésus.	Ka po pwɔk, a bɑ po cyə guŋ mcici awɛ.
Jésus envoya ces douze hommes en mission, avec les instructions suivantes: «Évitez les régions où habitent les non-Juifs et n'entrez dans aucune ville de Samarie.	Mo yə e piŋ a dzə pɔmnəŋ á bɑ gɑ̌ gɔ sɔ' piŋ e dzə Ta a thə kɛbəŋ.
Allez plutôt vers les brebis perdues du peuple d'Israël.	Da' gɑ́ mo yə e kəŋnyə a dzə pɔmnəŋ a, bɑ gɑ̌ gɔ sɔ' kəŋnyə e dzə Tá a thə kɛbəŋ.
En chemin, prêchez et dites: “Le Royaume des cieux s'est approché!”	Ka po kwɛ gɑ́ gɑ sɔ' nə hɑ hwitə dəmcǎ', ŋ tə́ sɔ' m nə hɑ hwitə pɑ, gɑ̌ sɔ' m nə hɑ nyə.
Guérissez les malades, rendez la vie aux morts, purifiez les lépreux, chassez les esprits mauvais. Vous avez reçu gratuitement, donnez aussi gratuitement.	Əŋ, gɑ̌ sɔ' hapnyə mo pu tap e, hap mú mjwǐ pu map e, hap jwi mu nə má dhə́.
Ne vous procurez ni or, ni argent, ni monnaie de cuivre à mettre dans vos poches	Mghɛ bò gɔ sɔ' pɑ́ pɑ̀ pǒ dyə.
ne prenez pas de sac pour le voyage, ni une deuxième chemise, ne prenez ni chaussures, ni bâton. En effet, l'ouvrier a droit à sa nourriture.	Mo yə́ e ŋkhuŋ tap e kɑ map e tə shyə a bɑ e ka ku'nyə nə m̀. Mo yə́ e ŋkhuŋ mú e yə mbɛ kɑ yə mjwǐ lə tə shyə a, bɑ e ka ku'nyə nə m̀.
«Quand vous arriverez dans une ville ou un village, cherchez qui est prêt à vous recevoir et restez chez cette personne jusqu'à ce que vous quittiez l'endroit.	Mo yə e ka kwa yə bɛnyəpɛnyə nə jap jʉ̌m m̀ a ba e ka ku'nyə nə m̀.
Quand vous entrerez dans une maison, dites: “La paix soit avec vous.”	Mo yə e lwɔ' vɔk e a gɔ sɔ' pi, tɑ́ mo yə e pi vɔk e nə m̀ a gɔ sɔ' vɔk.
Si les habitants de cette maison vous reçoivent, que votre souhait de paix repose sur eux; mais s'ils ne vous reçoivent pas, retirez votre souhait de paix.	Mo yə e lɑ wɔ dyə a dɑ pa' pɑ myə̀. Mo yə e nəŋ dɑ a, bɑ e dɑ pa' mo yə e nthəm a.
Si, dans une maison ou dans une ville, on refuse de vous accueillir ou de vous écouter, partez de là et secouez la poussière de vos pieds.	Mo yə e lɑ gɔm ghɔm Si pa' gɔm ghɔm Si a gɔ sɔ' ŋkwi mcwɔ'fa' bi gɔm ghɔm Si. Mo yə e nəŋ dɑ mo dəŋdəŋ pa' mo dəŋdəŋ a sɔ' ŋkwi mcwɔ'fa' mo dəŋdəŋ.
Je vous le déclare, c'est la vérité: au jour du Jugement, les habitants de Sodome et Gomorrhe seront traités moins sévèrement que les habitants de cette ville-là.	Mo yə e hɑ bǎ nthu' shyə nə nwə bi mu' mú nə pǒ pɔ́ gɑ m nə pa' e mukhʉ ǎ, bɑ gɑ siŋ wɔ kwa' nyənyɔ gɑ́ e tə gɔ sɔ' pi myə́ mcwɔ'fa' pɑ̀.
«Écoutez! Je vous envoie comme des moutons au milieu des loups. Soyez donc prudents comme les serpents et innocents comme les colombes.	Yeso lə́ miŋ nə siŋ pɑkhʉ̌ pyə shwɔppʉə́ mghǎm pa' wap gɔ nə fa' a, du gɔ ji'tə pɔ nthʉm mtisuŋ map, bɑ́ siŋ wap Cuŋ pɑpuŋ.
Prenez garde, car des hommes vous feront passer devant les tribunaux et vous frapperont à coups de fouet dans leurs synagogues.	A lə pɑ́ po'o Yohane tiŋnyə dyəcɛ̌ ju' mfa' Kristo, nthəm pɑkhʉ̌ pyə gɑ wap ghɔ́ həŋtə́ e gɑ
On vous fera comparaître devant des gouverneurs et des rois à cause de moi, pour que vous puissiez apporter votre témoignage devant eux et devant les non-Juifs.	O bɑ́ mo yə e bɑ́wə gɔ sɔ' a, kɑ pyə gɔ piŋ pyap mu' mo?
Lorsqu'on vous conduira devant le tribunal, ne vous inquiétez pas de ce que vous aurez à dire ni de la manière de l'exprimer; les paroles que vous aurez à prononcer vous seront données à ce moment-là	Yeso pa' bi pu gɑ: Po ghɔ siŋ Yohane ywə yə po ju' a, ba yə po jɔ a
elles ne viendront pas de vous, mais l'Esprit de votre Père parlera en vous.	Mfʉ̀ wə jɔ tsʉ', mkho'tə pɑwə gǐŋ dəŋdəŋ, mghɛ ka'pap pɑ́wə dɔ, mbu'mtəŋ piŋ bɑwə ju', mpfə́ pɔ pɑ́wə jam nə vʉ̌, pu piŋ bɑwə siŋ Cuŋ pɑpuŋ bi mpə̌ŋ.
Des frères livreront leurs propres frères pour qu'on les mette à mort, et des pères agiront de même avec leurs enfants; des enfants se tourneront contre leurs parents et les feront condamner à mort.	Buŋtsě bɑ mo yə ŋ tə gɔ pɑ ywə fa'tə yə e gɔ cyə m nə vʉsi a pə.
Tout le monde vous haïra à cause de moi. Mais celui qui tiendra bon jusqu'à la fin sera sauvé.	Cwə yə pɑkhʉ̌ Yohane lə ghɔ a, Yeso ghɔmnwə bi pɔmnəŋ nə é gɔm gɑ: Pó lə gɔ m ghakgo le kɑ? Shʉɔ ka' yə fəfa wə ŋʉ'nyə a lə?
Quand on vous persécutera dans une ville, fuyez dans une autre. Je vous le déclare, c'est la vérité: vous n'aurez pas encore fini de parcourir toutes les villes d'Israël avant que vienne le Fils de l'homme.	Po lə gɔ m nə yɔ kɑ? Mo bɑ́ e kwa dzə mkwìŋ lə? Pɑ kwa dzə mkwìŋ shwə́ m dyə̌ mfo
«Aucun élève n'est supérieur à son maître; aucun serviteur n'est supérieur à son patron.	Tə po lə̀ gɔ m nə yɔ kɑ? Gɔm ghɔm Si lə? Əŋ gɑ siŋ wɔ gɑ e cyə gɔm ghɔm Si.
Il suffit que l'élève devienne comme son maître et que le serviteur devienne comme son patron. Si l'on a appelé le chef de famille Béelzébul, à combien plus forte raison insultera-t-on les membres de sa famille!»	A bɑ́ mo yə a bɑ pú və nə e gɑ: Po yɔ, gɑ̌ təm shwiŋkhʉɔ a dzə o; e gɔ nyaptə məjyə o dzə̌ o.
«Ne craignez donc aucun homme. Tout ce qui est caché sera découvert, et tout ce qui est secret sera connu.	Gɑ siŋ wɔ kwa' nyənyɔ gɑ̌, cəcɑ̌ pɔ pyə mjwǐ dzə a, sɔmmo ka təm nə tɑ shyə́ Yohane nu' pɔ shyə; da' gɑ́ mukəcɔk mò nthʉm Nəfo kɛbəŋ bɑ e cyə e.
Ce que je vous dis dans l'obscurité, répétez-le à la lumière du jour; et ce que l'on chuchote à votre oreille, criez-le du haut des toits.	Tɑ́ fɑ nə cwə Yohane nu' pɔ shyə gɔ ŋkhəm tyɛ' ɔ, Nəfo kɛbəŋ bɑ a cʉ' nwə gʉ', mghɛ gʉ' nə́ pɑwə dɑ́.
