à	á
gonflé	bì-vùg
goûter	dəm̀lə
gourdin	kəǵ1
grand	pɔɔ̀ḿ
gratter	yàgì
grêle	ɛ-̀tâg2
groupe	ì-sámá
habiller	dálâ
gâter	ndámnì
Guinée	ndóŋ1
guêpe	ɛ-̀pǒm
habiller	dál
habitudes	tùm
haine	ì-pəm̀ə
haleter	dàgbà
hameau	à-bàŋ1
hampe	ŋ̀-kɛǹ
hareng	ì-pàgà
haut	ù-ŋgɔŋ̀
herbe	ɲ́câmà
herbe	ì-yámî
heurter	kòbì
hocheur	mbínâ
huile	m̀-mwán
inciser	kpɛd̀
inhaler	swàn
insecte	mbàgà
insomnie	ì-və
insulte	ɛ-̀sə
interdire	cì
intérêt	m̀-pí
jardin	ŋgádnà
inventer	tə2́
inviter	báŋdâ
junior	m-ɔŋ̀ɔ
jupe	ì-sə̀gzə
labourer	ɲùgì
lamenter	jə2̀
lampe	ɛ-̀lámâ
ancé	ŋ̀-kə́mə
lancer	pímlâ
lapin	àlàpágá
largeur	ndàz
largeur	ndàm1
larme	ì-bəǵî
lentement	tù
lessivé	cágdá
long	ǹ-tɔŋ́2
long	kɔm̀kɔm̀
louper	cɔb́dɔ
lutter	lúmnì
lutter	bàdnì
mamba	ɛ-̀jáŋ
mangue	ndɔǵɔ
manioc	m̀-mùŋ
manioc	kpəm̀
mariage	ɛ-̀bá
maudire	ŋgəḿ
meliacée	à-sə
melon	ɛ-̀bɔǧ
message	ndwà
mesurette	dóz
mets	ŋ̀-kóngí
mince	bwádbɔ
miroir	ì-yɛń
modeler	míŋlá
montrer	pònì
moquer	dɔg̀lɔ
mordre	kòglò1
mouche	ǹ-nɔy̌
oussé	m̀-pím
moustac	ù-sǒg
nandinie	mbày
nasse	ɲ̀-cǎl
myriade	àkúdâ
ndole	ɛ-̀tɛd́
nettoyer	púbâ
nettoyer	kùl
noble	m̀-mɛń
noisette	kómî
nom	mə-̀tàmná
nombril	d-ɔb̌
non-mûr	ndǎn
orme	kɔm̀kɔm̀
oiseau	ù-nwǎn
oiseau	káyám
organiser	kòm
orphelin	ɲwǐ
oublier	vúúnà
ourlet	ì-ɲəǵ
palabre	ɛ-̀vɔ
palisser	tónô
panache	nəg̀
anoui	ì-làz2
panser	ləŋ̀2
partager	kàb1
paître	ì-lwág
pencher	nìgbà
pendre	kɛl̀bə
percée	túbnà
personne	m-òd
petit	tɔǵbɔ
pièce	d-ɔĺɔ̂
pied	ɛ-̀tín1
piège	ì-ŋgùlí
pigeon	ù-bəŋ̌
pilosité	ŋgàz
pimenté	ì-jǎŋ
pipe	ŋmg͡bìg
piquant	ì-jǎŋ
pirogue	w-ǎl
planche	kàlà
plant	ɛ-̀tín1
planté	bəm̀ə
plante	ì-sòŋ
plante	ì-sǎŋ
planter	ì-bə
pleuvoir	nɔŋ́
lucher	kpàmì
pénis	ɲ̀-cwád
porter	bəg̀lə
position	ì-tə
posséder	hàdá
poteau	ɛ-̀ndə
potelé	ì-ndód
potto	ɛẃúnî
poudre	m̀-pùŋ
pourri	ì-bwǎl
poutre	m̀-póm
pouvoir	ì-jôy
prise	kùlbá1
prison	m̀-mòg
profond	ndìm
prononcer	túd
pâte	ì-nɔd̀ɔ
pétrir	bùùlà
publier	bɛńî
uisé	ǹ-tàbgì
uisement	sɔḿ
puissance	pím
racine	ŋ̀-kǎŋ
raconter	kànì
raide	ndòndòŋ
ramasser	twáb
rameau	ɲ̀-cá1
ramollir	bwî
ramper	dùùdàn
ramper	dùùdàn
rapace	ù-bàm
raphia	səg̀ə
rare	jəŋ́bân
réclamer	jàgì
récolter	kɔ2́
rebondir	báŋ2
recueillir	kɔ
refaire	bágbá
remplir	jáálâ
rendre	dúgnà2
renommé	wúm2
rentrer	dúgnì
ressembler	vú
reste	ì-kàgá
retard	díŋdíŋ
retard	ì-bóg
retenir	hàdá
revenir	dúgnì
réfléchir	còg
régime	ɲ̀-cág
ricocher	báŋ2
rituel	ɛ-̀kúz
réjouir	sàmà
rosaire	sádyâ
roselle	ì-sǎŋ
rot	ŋmg͡bəg̀1
roulade	kúlâ2
râpeur	ù-jəŋ̀
répéter	báglâ
réserver	kɔỳ
résister	káb4
s'abstenir	cì
saison	à-káb
saison	ù-jòn
saluer	kóònì
sauter	jɛĺî
savane	ǹ-nɔŋ̌
savoir	ù-jəm̀
séché	m̀-mól
scorpion	kádá
secouer	sàmzà
selles	mə-̀bí
semence	púní
simulie	ù-bǐg
soigner	yáŋ2
soigner	jàlì
sorte	ì-bəg̀á
sottise	zəz̀è
souffrir	jùgì
soulever	tə1́
soupe	m̀-pyáŋ
souple	səǵ2
souris	mbəń
souvent	dìŋ1
sperme	ndəm̌
s'étirer	hɛd́
supplier	jàgì
sœur	mɔꜜ̌jáŋ
sœur	mɔꜜ̌ɲáŋ
tache	ɛ-̀twán
tamis	ì-kùdgà
tarder	dɛǹbə
tenir	ndágbâ
tenue	m̀-mwád
termite	ndòn1
termite	by-àm
ernuer	səḿlə
terrible	d-àm
tibia	ŋgɔŋ́lɔ
tôle	ì-kpə́mí
toit	ɛ-̀ŋgàg
toko	ɛ-̀wóngí
tombeau	sɔŋ̀2
tordu	ŋ̀-kwád
toucher	nàmà
toujours	kɔḿ
touraco	ì-kpá
traverser	dà
triste	kùlbà
roit	ù-ŋgɔŋ̀
roit	pídgân3
trouver	sɔm̀
têtu	ndwágbɔ
tuteur	ǹ-tónô
unique	m̀-máŋ
vanité	ì-dɛň
vantard	ù-lùm
utilité	m̀-pí
variété	mbɔŋ̀
vase	kúlwàdá
ventre	ɛ-̀bùm
ver	ɲ̀-ɲìlìg
veuve	ŋ̀-kúz1
village	d-àŋ
viser	ləŋ̀nə
voracité	həb́
Yaoundé	ŋgəb́
vérifier	cáz3
véritable	ɲǎ2
vétuste	ì-túg
vute	bə-̀búdî
abandonner	líg
accord	ù-jílá
accoupler	jàm
administrer	lɔ
adosser	sɛńî
adulation	mbòl
affirmer	vɔ1́
affirmer	tɔŋ́2
affronter	bàl
agacer	ndəǵlə
agile	ǹ-tàndàŋ
agréable	ɲəb̀
agrandir	nɛńə
ajouter	bágnì
allumé	kòòbàn
allumer	kàznà
amertume	à-jǒl
amitié	ɛ-̀mbwé
annoncer	bɛńî
appliquer	kwág
arachide	òwònò
arbre	à-ŋgɔŋ̀
arbre	à-ŋgəg̀
arbre	à-kòngò
arbre	à-kəŋ́1
arbre	ì-siŋgàn
wóódè	m̀-mɛl̀
wóódè	məv̀ínâ
wóódè	ì-yəḿ2
argent	d-ɔĺɔ̂
armature	ì-kpà
armature	pàlì
armoire	kwábdɔ
attache	ŋgàdgì
attendre	yàŋà
aulacode	mbəb́
auvent	ɛ-̀ŋgàg
avantage	m̀-pí
avare	bì-jə́m
avarice	à-pɔm̀
bagarre	ì-tɔm̀
baguette	ì-bà2
balancer	ndəŋ́
barrière	ŋgólô
bassin	ì-tɔǧ
bavarder	kómnó
bébé	ì-bəb̀wàg
beaucoup	bùlà1
bifurquer	bágî
blesser	sàŋnì
blindage	ɲjàmà
blinder	jómlô
blottir	ládbâ
bénéfice	m̀-pí
boiter	pɛńgə
bon	ŋ̀-ŋə́mdə
bosquet	ù-kǎŋ
boucher	ɲ̀-cîg
boudeur	búnbâ
bouture	ì-jwàg
boyaux	ɛ-̀swád
branche	ǹ-təm̀
bravade	ù-lág
brûlé	ì-dídîgà
brousse	ɛ-̀pàn
cabrer	búlgân
bruit	mə-̀tòg
bus	kɔm̀kɔ̀mɔ
cachette	ɛ-̀sɔ
cadavre	m̀-mìm
cahoter	ɲànbàn
cajoler	məŋ̀lə
calebasse	cəǧ
calvitie	ɛ-̀vá
camarade	à-vùz
canard	ù-lwǎd
canard	ì-lɔl̀ì
canari	m̀-mɔŋ̀
capiteux	g͡bè
caractère	d-ǐz
cassé	ì-búbûgà
cerceau	ì-jǎm
hanger	pwàznì
chapelet	sádyâ
charge	mbəg̀lə
charger	sɔŋ̀3
chasse	ɲ̀-cán
chasser	ì-càm
chenille	à-jòz
cheval	ì-kàblí
chevelure	l-òŋ
chicotte	ù-sɔ
cigale	ì-láŋ2
clair	ì-vɛĺî
célébrer	jəḿî
célébrer	kàb2
clitoris	ù-sòd
cochon	ì-ŋgág
coin	ɛ-̀ndúmgí
cola	ŋm̀-ŋmà1
colline	ŋ̀-kǒl
commencer	kázî
concession	yád
confluence	d-ɔ
connaître	jəm̀
conspuer	hàmnì
construire	làŋ
contrôler	cáz3
costaud	g͡bəḿ
coucher	nàŋdà
coucher	jògbò
coude	ì-bwágzí
courage	à-zòmò
courber	kúlbâ
couronne	ì-kád
crapaud	jɔǹgí
crédule	ì-mbón
criquet	àŋgàdà
crocodile	ŋgǎn
croquer	kòglò1
rouler	pɔĺgân
crue	ì-bɛd́ə1̂
cuisinier	kúgâ
cupide	bì-jə́m
Cythère	dabema
dartre	ŋ̀-ŋɔŋ́
début	mə-̀kází
déchirer	ɲàbì
déclencher	càg
décroître	səg̀
devoir	yɛɛ̀ǹì
déféquer	nɔb́ɔ
défrichage	lyâ
difficile	lɛd̀
domicile	à-tán
Douala	ɛẁálɔ́
douter	pɛd̀nì2
dépassé	làmbà
déprimé	kùlbà
dépuceler	tàn
dresser	nəb̀nə
dresser	límbâ
effleurer	kòbì
détester	pəm̀2
dévoiler	páŋâ
dévoiler	kúmdâ
ekoune	ì-təŋ̀
embêter	gəŋ́zə
encaisser	bábî
enfant	m-ɔŋ̀ɔ́
enflure	ɛ-̀bǐb
enfoncer	dɔb̀ì
engendrer	bònì
entailler	sàŋ1
esclave	ù-lwǎ
espoir	ɛ-̀pìdí
exciter	səg̀lə
exemple	mbùlná
exposer	cɔǹì
faible	təg̀bə
ferment	ɲjàgà
fermer	pɛd̀bàn
feuille	ɛ-̀wúâ
fiable	bəm̀ə2̀
flèche	m̀-pàn
forgeron	lúlúâ
foule	ŋ̀-kùnà1
fraîcheur	à-vɔ
frapper	kùŋlà
fringale	ù-záŋ
fromager	d-úmá
frère	mɔꜜ̌ɲáŋ
fête	ì-zə̀zàŋ
fétiche	ɲjàmà
furoncle	d-wǎd
géant	ŋ̀-kə́mə
garder	bàglàn
gauche	mə-̀yál
genette	ɲ̀-cíŋ
genou	ǹ-tîmgì
gentil	ù-sə̀sà
germe	m-ɔŋ́nɔ̀
glissant	tɛl̀
génitales	zùd
généreux	à-kàb
goûter	ì-pìzà
gourmand	kpàg2
gourmet	ù-lwàd
gousse	ì-kòglò
grand	ɲ̀-ɲóm2
grappe	ɲ̀-cág
grappe	ì-záŋdá
grêlon	ɛ-̀tâg2
grognon	búnbâ
gronderie	mbám
gros	kəb̀kə̀bə
habile	à-kəŋ́2
habiller	bwád
gâteau	kpímdá
guetter	dəŋ́bə
habitude	púúlá
habitude	dìŋ1
hanche	ì-bɔg̀1
heure	ɛ-̀wòlò
heurter	wúbnà
hibiscus	ì-sǎŋ
histoire	ndɔŋ́
hochet	ì-ŋgàlì
honorer	səǵî1
hérisson	mbəb́
igname	ɛ-̀lɔǵ
hâte	mbògmbòg
ilomba	ì-təŋ̀
imbécile	zəz̀è
inciter	pɔŋ̀lɔ
incliner	sɛńî
information	pɔ
informer	bɛńî
initier	kəŋ́lə
interdire	cìlà
intestin	ɲ̀-ɲà
intimider	sìzà
introduire	láb
ivoire	m̀-mǎŋ1
jeune	ì-tɔ̀ŋgɔ
joyeux	mì-ntàg
kola	ŋm̀-ŋmà1
larve	ɛ-̀ɲɛd̀
lemongrass	nàŋ
lent	ì-ndəŋ̀2
lever	bɛɛ́d́ə̂
légume	ɛ-̀tɛd́
lignée	ɛ-̀jɔŋ̀
ligne	ɲ̀-cámá
lièvre	ù-kpəŋ̀
longtemps	kɔḿ
longueur	à-jǎb
louche	ì-kwáŋɔ
lumière	m̀-pyà
maison	ɛ-̀bázá
məz̀əg̀ə	pwàl
mammifère	zòl
mammifère	pùŋ
manche	ŋ̀-kɛĺ
mangouste	mbǎg
manioc	ndəŋ̀1
marché	àŋgàdà1
marié	m̀-máání
massage	ì-wúdâ
matin	kəḱídâ
maturité	à-mòd
mbitacola	ɲɛl̀
méchant	tómbô
menteur	nàlbà
mettre	bɛd̀bə
miette	ɛ-̀ɲùŋà
minceur	à-bwád
mission	míswân
moitié	ì-sə̌g
molaire	ì-kəg̀
moment	ɛ-̀pólô
monnaie	síngì
montant	ŋ̀-kòm
montée	m̀-pəb́
moquer	kpɛĺî
moquerie	bì-jǎ
moqueur	à-ɲɔg̀
moracée	à-bàŋ2
morceau	ì-bǎb1
morpion	ì-lád1
mousse	ì-vúvûz
mouton	ǹ-tómó
mépris	ì-byàní
mépriser	byànì
mûr	ì-lə̀ləg̀
nabot	ì-ŋgəg̀ə
nombre	nwàmɔ2̀
nouvelle	ndwà
oblique	sɛńî
numéro	nwàmɔ2̀
nymphe	kúŋgúzâ
oiseau	ù-tɔg̀
oiseau	ɲjɔĺí
oncle	paternel
ouragan	ŋ́kûlà
palmier	ì-vóy1
panaris	d-òngò
anouir	bùgbàn
papier	ɛ-̀pəb́
paradis	ndóŋ1
parcelle	ù-kǎŋ
parenté	ɛ-̀jóm
parenté	ɛ-̀ɲǎŋ
paresse	à-təǧ
paresse	à-súg
parfum	àlàbínâ
parsemé	ì-təŋ́
partage	ɛ-̀kàb
passager	ndòn2
patienter	jíbâ
perdrix	ù-kpǎl
peut-être	bɛń
pillage	ɲ̀-cà1
piment	ì-lòbò
pintade	ŋ̀-káŋ
pioche	ì-díkâz
pistache	ŋgwǎn
plante	kùkùmà
plante	ɛ-̀ndó
plein	ɛ-̀ŋgùmà
pleurs	kɔɔ̀m̀
pénible	à-lɛď
poil	mbámdúlá
poisson	ì-lóló
porc-épic	ŋgǒm
pourrir	bɔl̀ɔ
pousse	ù-zǒm2
ousseter	sàmzà
prière	ŋgòglǎn
problème	ɛ-̀vɔ
produire	wúm1
profond	ì-dɔǵ
profond	d-ìmà
prohiber	kàmnì
projeter	vázlâ
provoquer	bàgì
présage	ɛ-̀bə
pâte	mə-̀kàlà
puiser	ləm̀də
épuiser	pɔŋ́zɔ
pulluler	ɲùmnì
ereller	sáánì
estion	m̀-móló
rabougri	ì-kpá
eue	ɛ-̀ɲjəŋ́lə
racleur	ù-jəŋ̀
rallonger	jàbà
récolte	mə-̀kɔ
récolter	kòzì
redresser	nìmì
refus	mə-̀wàd
rejet	m-ɔŋ́nɔ̀
renoncer	jəb̀ì
reposer	wàgbɔ
respecter	kám2
respirer	vòzbò
retenir	hámzân
réfléchir	sóŋ
régime	ɲ̀-cǎz
rhume	ì-bəb̀òm
rigole	ì-sàlgà
rocher	ŋ̀-kóm
route	ɲ̀-ɲɔŋ́1
répit	səǵzân
résine	ŋ̀-kàm
réussir	bùgbàn
safoutier	à-sá
samedi	sɛd́àdé
saturer	ɲɔd̀bɔ
savane	ɲ̀-cǎn
savane	ù-zǒm2
séchoir	ɛ-̀kǎŋ
sciemment	váŋ
scintiller	sán
scrotum	ɛ-̀bìn
secouer	sùgzà
sensuel	sògbò
serpent	ù-kóm
serpent	ɛ-̀jáŋ
serré	kágdân2
service	ì-yóm
servir	ləm̀də
seulement	bəŋ́
sevrage	ì-cìlà
sifflet	ì-lɔŋ́
s'interdire	cì
sissongo	ì-sòŋ
soigner	túŋlâ
soldat	ì-kàdì
solitude	ì-tám
sommeil	ù-jɔ1́
sommet	mbòmbòd
ophage	ì-ŋgɔŋ̀
souffler	jìdì2
souhaiter	tám2
spatule	m̀-mǎy
sperme	mə-̀jóm
sternum	ù-ŋgòn
sucré	zəg̀bàn
support	ɛ-̀lìm
supporter	jíbâ
sœur	mɔꜜ̌ɲɔŋ́
surpris	pòdbò
talent	à-kəŋ́2
tamiser	səg̀zə
tam-tam	ŋ̀-kúl
teinture	dáŋâ
tenailles	cáŋâ
kàdì	kólwónó2
tégument	ì-vùl
tituber	pəŋ̀lə
tomber	pɔĺgân
tomber	kpəz̀ə
onné	ŋ̀-káməń
tordre	nɔg̀làn
tornade	ŋ́kûlà
tour	bɔǵlânà
touraco	kúngí
tourner	cíbdâ
tourteau	ì-jám
train	̀ɲ̀-cínâ
tranchant	vól
ranger	ɲ̀-ɲəŋ́
trébucher	vázî
tripes	ɛ-̀swád
tronc	ŋ̀-kwǎg
trouver	kɔb́2
tubercule	kɔ1́
vaisselle	ù-sò
verser	ləm̀də
village	à-bàŋ1
virage	ɛ-̀kwád
vivant	vəə̀b̀ə
voiture	mət̀úâ
vraiment	pwágɔ
vêtement	ì-jə
abeille	mbúmbûŋ
abura	ì-lə̀lɔm̀
accaparer	hàdbà
accepter	jəb́lə
accroché	bəm̀ə
acide	ì-kpáꜜsáŋ
affronter	bàdnì
aggraver	bɛl̂nì
agonie	mə-̀dúgí
aguerrir	kəŋ́lə
aigre	ì-sə̀sâŋà
aiguisé	m̀-pím
aisselle	mbàkán
ajouter	kòglò2
alliance	ì-làd
alliance	ɛ-̀tǐŋ
allumer	kàlnà1
amarante	kùkùmà
amer	ì-jə́jôlò
amusement	ì-làŋ
angueuk	à-ŋgəg̀
anémique	mə-̀cǐ
anomalure	ŋgwì
antilope	à-jəg̀
aplomb	ɛ-̀lágbâ
appel	ǹ-lɔɔ́ńí
apprendre	yəǵî
appétit	ɛ-̀záŋ
appui	ɛ-̀yə́gbə
appuyer	yəǵbə
arbre	à-ndɔǵɔ
arbre	áꜜlɔǵɔ́
wóódè	ù-ŋgɛĺî
wóódè	ŋ̀-káŋlá
artisan	à-kəŋ́2
attacher	tìŋdà
attendre	mwánî2
aubergine	zɔŋ́1
audace	ɛ-̀lágbâ
balafon	ɛ-̀njáŋ
bambou	ì-kpáz1
banane	plantain
baptême	ǹ-nùùní
bas-ventre	ŋgùd
beau-frère	ɲàlà
beignet	ɛ-̀kàlà
bien	ŋ̀-ŋə́mdə
billon	ù-ndògò
billon	ɛ-̀ndògò
bière	bílíbìlì
blancheur	à-pǔm
boisson	mə-̀ɲúŋ
boisson	bì-lám
bordure	ŋmg͡bág
boîte	ɛ-̀ŋgóŋô
bouchon	ì-dìbgâ
bouderie	bì-jám
bourgeon	ǹ-tɔm̌
bourgeon	ɛ-̀bìn
bouton	ɲ̀-càŋ1
bouture	ì-swág
braiser	síŋlâ3
branche	ɲ̀-cá1
bretelle	ì-wág1
bâtarde	ɲjɔb́î
caillé	ì-wúwôlò
caleçon	ŋ̀-káná
cancrelat	ì-bám
capsule	ì-dìbgâ
castré	ŋm̀-ŋmǎg
cataracte	ù-ɲǎŋ
cercueil	ì-zímí
chagrin	ù-kùgà
champignon	ì-já
chandelle	ù-bàg
happer	cɔb́dân
chassie	pɔd́ɔǵ
chat-tigre	mbày
chef	ŋ̀-kúŋkúmá
chez-soi	ì-bógî
chimpanzé	wɔg̀ɔ
chlamydia	ɲjíbâ
cicatrice	ndól
citronnelle	nàŋ
célébrer	lùgzà
cloche	ɛ-̀bəŋ̀í
clopiner	cəḿgə
cloque	ì-tə́tóg
commencer	tádî
comparer	vəg̀nə
onomie	mə-̀zɔý
conraua	goliath
conseiller	ləb́
conserver	bàglà
construire	jɔǵ
contrefort	ǹ-nì
convoquer	báŋdâ
coquin	ǹ-tàndàŋ
corbeille	bánâ
courge	ɲ̀-ɲəŋ̀1
crevette	ŋ̀-wǎz
criquet	ì-tàngí
cylindre	kúdâ2
débattre	cáŋdân
débauche	ì-bàmà
début	mə-̀tádí
décéder	jəg̀zàn
déchirer	làmdà
déchoir	pɔĺgân
déclencher	bólî
découper	sàŋlà2
demi-tour	kwád
dermatose	ɛ-̀kɔ
dessin	ì-və̀glà
défaut	ɲ̀-cwǎz2
défendre	kàmnì
défense	m̀-mǎŋ1
défriché	mə-̀lí
défricher	pùb1
digue	ŋm̀-ŋməǧ
dimension	ndàm1
direct	kpəb́əǵ
discours	ì-kàd
disette	ɛ-̀jəb́
disparaître	dáŋ
disputer	sáánì
distance	ù-jǎb
divinité	à-zàmá
déloger	kúglânà
dorloter	yəg̀lə
doux	ì-vəv́ɔ2̂
déposer	bɛd̀bə
dépouilles	ǹ-tú
dépourvu	ǹ-nəŋ́
déraciner	tə1́
déraciner	pùmlà
déranger	gəŋ́zə
dresser	nəg̀bə
dérouter	lɛz̀1
détériorer	sùn
embusquer	kwàlì
empreinte	ɛ-̀bɔ
encourager	págî
endroit	ɛ-̀pólô
enflammer	káb3
enflure	ù-bǐb1
entretenir	pílî
escarpé	ndòndòŋ
esclave	cúgzɛd̂
essayer	vəg̀là1
excrément	ɛ-̀bí
exorbité	ì-ndòd
expulser	tídnà
fardeau	mbəg̀lə
fermer	pɛd̀nì1
fessée	twànìpáb
feuillage	ǹ-tǔd
feuille	ɛ-̀pəb́
fissures	kəg̀ə
flamme	ŋ̀-kàblà
flaque	ì-tə̀mgə
féliciter	tàmnà
flétrir	jɔg̀làn
formidable	kòòŋ
fragilité	kəĺə
Français	pùlàsí
franc	kpəb́əǵ
frère	mɔꜜ̌ɲɔŋ́
fructifier	pòlò
glaire	bì-lìgdì
goulot	mɔŋ̀bán
gourmand	kòkòd
graisse	ɛ-̀vɔŋ́
grand	kòŋgógô2
grand	ì-bə̀bəǵ
grelotter	ɲàmnì
grenouille	d-ǎz
grouiller	ɲùmnì
gâteau	ŋ̀-kóngí
guérison	mbàbì
habitude	pəm̀1
haleine	ɛ-̀kàg
hameçon	ɛ-̀sɔŋ̌
harceler	gəŋ́zə
heureux	mì-ntàg
homonyme	ì-yòlò
hésitant	sìgsìg
humour	ì-lɔb̀í2
imbattable	kòòŋ
imiter	jəǵlânà
incendier	bɔg̀ì
indolent	ləm̀zə
interdit	səḿ1
interdit	pòdbò
ironie	ɲ̀-ɲɔŋ́2
irrespect	ù-lág
irriter	búlgân
Irvingia	àzàŋà
joyeusété	ì-làŋ
jumeaux	mì-vyáz
langue	ŋ̀-kɔĺɔ
lavement	wàdnì
lecture	ǹ-láŋní
léger	ì-vəv̀ɛz̀
lion	ì-ŋmg͡bəḿ
lisière	ŋmg͡bág
oignement	ù-jǎb
long	ŋ̀-kɔ́ŋlɔ
loquacité	à-nùŋ
macabo	ɛ-̀bàŋà1
lune	ŋm̀-ŋmɛľ
magistrat	lɔýâ
maladie	bɔɔ́ĺó
məz̀əg̀ə	ù-dàg
malchance	àsùdà
malheur	ɛ-̀màlá
mammifère	sósô
mammifère	cígdî
manche	ŋ̀-kɛǹ
manière	ɛ-̀kɔm̀
massage	m̀-máb
médicament	ndwì
méditer	bìzlànà
menton	ì-yə̀gzà
méfiant	ù-bàŋgí
minute	ì-nútɛn̂
momentané	ndòn2
monnaie	ì-kpàm
montant	ǹ-núm1
monticule	ì-kǒl
mouche	bəb́əŋ̂ə
mourir	màŋzànà
movingui	ì-jɛǹ
murmure	mə-̀ɲíŋ
musicien	m̀-mòm
musique	mə-̀zíg
musizi	ŋ̀-káŋlá
naïveté	ì-ləŋ̀ə
neuf	ŋm̀-kpámgí
nocturne	mbànà
non-mûr	ì-bɔd́ɔ
notable	ɲ̀-ɲóm2
nymphe	ɲ́ꜜcígá
oiseau	ɛ-̀pəb̀
ombre	ì-vəv́ɔ1̂
omoplate	ɛ-̀bán
origine	ɛ-̀bòní
palmier	ɛ-̀lɛń
panier	ɛ-̀ŋgùnà
paquet	ì-kúngà
paquet	ɛ-̀púná
arpillé	mbíꜜɔŋ́
passereau	ŋgwàn
pauvre	m̀-múmúá
pédoncule	ɲ̀-cì
pellicule	ì-báz
pensée	ɲ̀-cògní
icerie	ì-pàtìlá
pigeon	ɛ-̀pəb̀
piment	ì-kpə̀bà
piquant	ì-jɔy̌
pistache	síŋlâ1
piétiner	kwágdɔ
placenta	ì-sòg2
planche	ɛ-̀bám1
planté	m̀-bèèní
plante	vəv̀àzá
plante	ì-tóndó
plongeon	ì-làz1
plume	ù-tə̀glə
pénible	ɲ̀-jǔg
pénétrer	ɲíŋlâ
pénurie	ɛ-̀jəb́
poêle	yáŋə́yâŋà
polygamie	bàgá1
potamogale	ì-jè
potiron	ɛ-̀bɔǧ
poursuivre	bəŋ̀
ouvantail	cìcî1
prison	m̀-mɔg̀
propre	m̀-púbní
proscrire	kàmnì
pétiller	dìglàn
pugnacité	ù-lág
purée	mə-̀njáná
artier	ŋm̀-ŋmà1
pygmées	bə-̀kòy
raconter	láŋnì
raconteur	ǹ-nây
réchauffer	báb1
récipient	d-əb̌
redonner	dúgnà2
refaire	tìmnì1
refaire	dúgnà1
regard	mə-̀tálí
remplir	ɲɔd̀bɔ
reproches	bì-jò
reste	mə-̀lígí
retard	mbúmbúâ
retrousser	tùnì
richesse	à-kúmá
rémunérer	yágnà
rondelet	ì-ndód
roter	ŋmg͡bəg̀2
répondre	jəb́lə
réponse	ì-yàlná
sable	ɲ̀-cɛl̂gì
ucter	ŋmg͡bəg̀2
réveiller	vɛl̀ə
salutation	kónó
scarifier	kpɛd̀
semence	m̀-mól
simplement	bəŋ́
soigner	sáábân
souffrir	tíblá
sourire	mə-̀múŋ
soutenir	yəǵə
sépulture	sɔŋ̀2
succès	ŋ̀-kàbní
sucré	ì-zə̀zəg̀
suivant	ì-tógnì
supporter	zòmò
suspendre	kɛl̀ì
suspendu	ságbâ
talon	ì-kílŋgìz
tenailler	pìmlà
terrasser	pùmlà
terrible	m̀-mə
toilettes	ì-dúg
tontine	ì-sùznì
tordre	ɲwàglàn
traiter	nəŋ̀lə
trancher	səḿ2
traîner	bwàdbàn
traître	ǹ-nəm̀ə
travail	pùpúlà
vaciller	pəŋ̀lə
vieillir	jòòmbò
énement	bì-dǐm
vérité	bəb́ɛĺə
abandonné	pùdbà
acariâtre	à-lɛ̀d
accaparer	nàdbà
accouder	yəǵbə
accoupler	jàmnì
accrocher	kɛl̀ì
accrocher	hámzân
accrocher	bəm̀bə
accrocher	pùlnà
allonger	sámlán
allumette	ì-ɲəm̀
ampoule	ì-tə́tóg
amusant	ì-lɔb̀í2
annoncer	yɛd́nə
apôtres	àpóstɛl̀
appliqué	bəm̀ə2̀
arbuste	bəǵə1̂
aérophone	ì-làn
assécher	síŋlâ3
assongho	ì-sánî2
attention	ù-kálá
babouté	bə-̀búdî
aveugle	ǹ-díndím
asilic"	mə-̀sə̀b
belle-sœur	ɲàlà
belle-sœur	mbómó
blessure	ɛ-̀vəŋ́
blindage	ì-jómí
bluffard	bì-jàŋ2
bosse	ì-kəḱóngí
bosselé	bì-tútúg
bracelet	ɲ̀-cəǵ
braisé	ŋm̀-kpɛĺ
bravade	ù-bàznà
brouette	ì-kálíd
brusquer	sìlgànà
callosité	ǹ-nàn
callosité	ì-bágî
calvitie	ɛ-̀yán
caméléon	jɔŋ̀gwé
caquetage	ù-dwád
carburant	ì-sâŋz
écarquiller	nɛd̀
carrefour	màbgán
castrer	ŋm̀-ŋmǎg
champignon	mbɛĺ
charançonné	dúŋ
chasseur	ǹ-sòmò
chaussures	ŋgòb
heveau	ɛ-̀ndùgà
chicotte	ŋmg͡báz
chipoter	mángânà
chétif	ŋm̀-kpáŋ
châtrer	ŋm̀-ŋmǎg
circoncire	kɛl̀ə
clôture	ù-ŋgólô
cobra	ŋgɔj̀ɔ̀mɔ
coiffure	ì-lád2
coliques	bì-lɔǵ
coléoptère	lélê1
commission	ù-lóm
comparer	vəg̀nì
compliqué	ɲ̀-jǔg
compositeur	ǹ-tə
connerie	ì-bùbùà
conseil	dɔḱtɛn̂
construire	làzì
course	ŋm̀-ŋməĺ
coutume	ɛ-̀kəŋ̀2
critique	ù-bàŋgí
croche-pied	báŋ3
Cythère	kàzmáŋâ
déborder	lòbzànà
déchiré	ɛ-̀ŋgəŋ̀
découper	səǵî2
denture	bì-kə̀g
dessiner	vəg̀là2
dégoûtant	ɲɔd̀ɔ
difficile	à-lɛď
diffuser	bəǵlə
discours	ì-jə́gî
disséminé	ì-təŋ́
dépotoir	ì-kùkùn
drageon	m-ɔŋ́nɔ
